Z	S0.11	S0.08	S0.04
819	85003	62946	43917
818.5	79792	58595	40569
818	74706	54395	37334
817.5	69793	50376	34234
817	65064	46540	31255
816.5	60490	42878	28390
816	56066	39377	25632
815.5	51802	36030	22986
815	47694	32839	20458
814.5	43748	29827	18060
814	39978	26975	15797
813.5	36371	24244	13665
813	32932	21623	11685
812.5	29666	19110	9897
812	26572	16710	8282
811.5	23631	14431	6806
811	20836	12276	5444
810.5	18189	10245	4184
810	15738	8327	3046
809.5	13436	6516	2059
809	11263	4856	1272
808.5	9209	3412	691
808	7260	2154	301
807.5	5414	1060	91
807	3670	307	16
806.5	2040	14	0
806	723	0	0
805.5	100	0	0
805	0	0	0




