Z	S0.11	S0.08	S0.04
915	84245	61328	46344
914.5	79270	57895	43614
914	74371	54498	40907
913.5	69562	51160	38239
913	64870	47899	35618
912.5	60306	44723	33049
912	55912	41631	30536
911.5	51724	38628	28094
911	47796	35714	25740
910.5	44098	32901	23480
910	40604	30187	21334
909.5	37320	27578	19344
909	34197	25096	17493
908.5	31211	22738	15726
908	28364	20511	14038
907.5	25657	18445	12430
907	23123	16533	10904
906.5	20753	14720	9451
906	18527	12997	8066
905.5	16443	11358	6752
905	14523	9797	5523
904.5	12712	8316	4393
904	10987	6910	3362
903.5	9347	5573	2454
903	7796	4302	1674
902.5	6327	3101	1031
902	4935	2003	548
901.5	3621	1053	226
901	2382	410	59
900.5	1244	70	7
900	381	0	0
899.5	61	0	0
899	0	0	0


