Z	S0.11	S0.08	S0.04
804.5	0	0	0
805	0	0	3
807	16	307	3670
807.5	91	1060	5414
808	301	2154	7260
808.5	691	3412	9209
809	1272	4856	11263
809.5	2059	6516	13436
810	3046	8327	15738
810.5	4184	10245	18189
811	5444	12276	20836
811.5	6806	14431	23631
812	8282	16710	26572
812.5	9897	19110	29666
813	11685	21623	32932
813.5	13665	24244	36371
814	15797	26975	39978
814.5	18060	29827	43748
815	20458	32839	47694
815.5	22986	36030	51802
816	25632	39377	56066
816.5	28390	42878	60490
817	31255	46540	65064
817.5	34234	50376	69793
818	37334	54395	74706
818.5	40569	58595	79792
819	43917	62946	85003
